Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
002425	凯撒文化	42.42			
002426	胜利精密	24.08			
002427	尤夫股份	20.16			
002428	云南锗业	127.11			
002429	兆驰股份	11.80			
002430	杭氧股份	8.67			
002431	棕榈股份	15.28			
002432	九安医疗	45.16			
002433	太安堂	25.28			
002434	万里扬	32.67			
002435	长江润发	67.12			
002436	兴森科技	36.74			
002437	誉衡药业	20.99			
002438	江苏神通	19.90			
002439	启明星辰	113.79			
002440	闰土股份	61.93			
002441	众业达	40.33			
002442	龙星化工	26.87			
002443	金洲管道	32.65			
002444	巨星科技	84.73			
002445	中南文化	26.36			
002446	盛路通信	46.52			
002447	壹桥股份	132.15			
002448	中原内配	80.01			
002449	国星光电	19.58			
002450	康得新	49.31			
002451	摩恩电气	52.08			
